model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
ResNet-18,8,codebook,stack1_block0_2_conv/kernel,9,11,20,1.9073486328125e-06,-19,True,True,0.8238029479980469,0.9611034393310548
ResNet-18,8,codebook,stack1_block1_1_conv/kernel,14,18,32,4.656612873077393e-10,-31,True,True,0.5966148958541453,0.9375
ResNet-18,8,codebook,stack1_block1_2_conv/kernel,5,3,8,0.0078125,-7,True,False,0.7265625,0.95361328125
ResNet-18,8,codebook,stack2_block0_1_conv/kernel,5,11,16,3.0517578125e-05,-15,True,True,0.210113525390625,0.6884430390782654
ResNet-18,8,codebook,stack2_block0_0_conv/kernel,1,3,4,0.125,-3,False,False,0.625,0.9375
ResNet-18,8,codebook,stack2_block0_2_conv/kernel,8,3,11,0.0009765625,-10,True,True,0.2265625,0.6884430390782654
ResNet-18,8,codebook,stack2_block1_1_conv/kernel,9,18,27,1.4901161193847656e-08,-26,True,True,0.1220781207084655,0.6884430390782654
ResNet-18,8,codebook,stack2_block1_2_conv/kernel,3,2,5,0.0625,-4,False,False,1.0,1.0
ResNet-18,8,codebook,stack3_block0_1_conv/kernel,4,3,7,0.015625,-6,True,False,1.0,1.0
ResNet-18,8,codebook,stack3_block0_0_conv/kernel,3,10,13,0.000244140625,-12,True,True,0.09228515625,0.6884430390782654
ResNet-18,8,codebook,stack3_block0_2_conv/kernel,1,2,3,0.25,-2,False,False,1.0,1.0
ResNet-18,8,codebook,stack3_block1_1_conv/kernel,2,5,7,0.015625,-6,True,False,0.453125,0.8650568181818182
ResNet-18,8,codebook,stack3_block1_2_conv/kernel,2,5,7,0.015625,-6,True,False,0.453125,0.8650568181818182
ResNet-18,8,codebook,cifar10_predictions/kernel,1,3,4,0.125,-3,False,False,0.625,0.9375
DistilBERT,4,codebook,transformer_layer_2/feedforward_intermediate_dense/kernel,5,3,8,0.0078125,-7,True,False,0.7265625,1.0
DistilBERT,4,codebook,transformer_layer_0/self_attention_layer/attention_output/kernel,3,1,4,0.125,-3,False,False,0.625,1.0
DistilBERT,4,codebook,transformer_layer_2/feedforward_output_dense/kernel,3,1,4,0.125,-3,False,False,0.625,1.0
DistilBERT,4,codebook,transformer_layer_5/self_attention_layer/query/kernel,2,0,2,0.5,-1,False,False,0.5,1.0
DistilBERT,4,codebook,transformer_layer_2/self_attention_layer/value/kernel,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_2/self_attention_layer/query/kernel,2,2,4,0.125,-3,False,False,1.0,1.0
DistilBERT,4,codebook,logits/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,token_and_position_embedding/token_embedding/embeddings,4,5,9,0.00390625,-8,True,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_0/self_attention_layer/query/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_0/feedforward_output_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_2/self_attention_layer/attention_output/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_5/self_attention_layer/attention_output/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,transformer_layer_5/feedforward_output_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,pooled_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,codebook,token_and_position_embedding/position_embedding/embeddings,3,6,9,0.00390625,-8,True,False,0.5078125,1.0
